,T_KC_1,T_KC_2,T_KC_3,T_KC_4,T_KC_5,T_KC_6,T_KC_7,T_KC_8,T_KC_9,T_KC_10,T_KC_11,T_KC_12,T_KC_13,T_KC_14,T_KC_15,T_KC_16
T_PN_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_PN_16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
